player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
JR Pace,10116,S,NWESTERN,7,3,0,53.8,1,0,256,71.4,70.3,89.0,61.5,63.7,52.5,0,1,1,40,21.6,8,2,2,80.6,7,0,153,5,271,457,3,0,0,3,0,112,454,6,180,184,12,26,13,1,1,125,55,17.9
Jaylan Foster,13095,S,S CAROLINA,7,10,0,78.9,0,0,289,52.0,55.2,83.1,68.1,58.3,79.6,0,1,0,91,8.5,4,0,1,157.1,15,0,128,19,152,345,12,0,0,12,0,82,333,3,190,102,12,33,19,1,4,232,120,15.5
Joshua McMillon,13920,LB,ALABAMA,6,2,0,33.3,0,0,103,79.5,81.8,77.3,54.4,76.4,65.1,0,0,0,4,10.0,1,1,0,42.4,1,0,54,1,26,57,2,0,0,2,0,0,55,4,27,0,4,7,3,0,0,4,5,4.0
Devin Taylor,22317,S,VA TECH,10,5,0,51.5,0,0,337,62.3,56.1,85.8,52.0,42.6,67.7,0,0,2,37,13.3,8,3,0,65.0,17,0,185,46,352,611,1,0,0,1,0,294,610,11,248,83,11,47,33,0,2,198,91,11.6
Cortez Davis,22974,CB,HAWAII,7,7,0,57.1,0,2,180,60.0,58.1,86.4,87.5,41.1,44.5,0,4,0,43,21.6,8,2,2,100.5,12,1,54,307,174,430,54,0,0,54,0,1,376,18,238,13,6,22,21,5,1,176,78,14.7
Dru Prox,23093,LB,KANSAS,3,7,0,75.0,0,0,198,52.9,60.0,78.8,79.6,56.5,60.2,3,3,0,9,14.8,4,0,0,116.7,6,1,146,2,55,157,1,0,0,1,0,0,156,24,78,8,8,16,8,7,1,17,7,2.8
Mikel Horton,23509,DI,CHARLOTTE,4,0,0,,0,0,136,60.0,61.6,0.0,67.7,62.0,59.0,0,4,0,,12.5,1,0,2,0.0,0,0,0,0,0,147,147,35,90,0,22,0,0,71,76,0,4,7,0,4,0,0,0,
Kingsley Onyirioha,23639,DI,TEXAS ST,5,1,0,,0,0,314,60.0,58.4,78.7,58.7,57.0,59.6,0,4,0,,14.3,1,0,0,0.0,0,0,0,0,0,142,142,0,34,6,102,0,0,75,67,0,3,5,0,4,0,0,0,
Quincy Jountti,23788,HB,USC,1,0,0,,0,0,326,60.0,55.6,60.0,,,,0,0,0,,,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Darren Evans,24171,CB,LSU,5,1,0,69.2,0,0,211,35.8,36.7,77.5,60.0,53.6,61.6,0,0,0,40,14.3,1,0,0,137.5,9,0,3,62,46,74,0,0,0,0,0,0,74,1,27,8,0,5,13,0,1,194,65,21.6
Alvinoski LaFleur,24504,CB,E MICHIGAN,6,10,1,87.0,0,1,160,66.6,62.7,84.6,51.5,58.0,66.1,0,1,2,23,15.9,7,0,0,61.4,20,0,147,7,179,445,15,0,0,15,0,17,430,32,234,259,12,27,23,1,0,171,151,8.6
Troy Warner,25770,S,BYU,11,7,0,55.0,0,0,128,74.5,76.8,45.9,66.7,83.3,77.6,1,1,2,28,9.1,3,1,1,50.4,11,0,68,93,327,598,12,0,0,12,0,327,586,5,266,97,10,23,20,2,1,122,12,11.1
Luc Bequette,25776,DI,BOSTON COL,11,5,1,,0,2,121,60.9,58.2,63.0,56.9,58.8,64.2,0,1,0,,10.5,2,0,1,0.0,0,1,0,0,0,438,437,4,417,5,11,0,1,229,209,0,10,12,0,2,0,0,0,
