player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Jacob Gideon,72705,C,W MICHIGAN,10,100.0,0,347,77.1,88.7,76.4,2,0,388,100.0,100.0,99.5,8,3,1,778,778,0,0,778,413,413,0,0,365,0
Addison West,98272,G,W MICHIGAN,10,100.0,1,347,76.5,79.8,79.8,0,2,388,100.0,100.0,99.7,9,2,0,776,0,0,0,776,413,413,776,0,363,0
Mike Lofton,123751,C,USF,9,100.0,3,327,48.8,58.1,48.7,1,20,403,99.8,99.8,96.4,10,25,4,759,759,0,0,759,434,435,0,0,325,0
Brock Robey,163975,G,JVILLE ST,10,100.0,0,196,59.6,73.6,56.6,1,4,291,100.0,100.0,97.8,2,9,4,758,5,0,0,758,307,307,753,0,451,0
Treylen Brown,108550,C,JVILLE ST,10,100.0,0,196,72.1,82.9,66.9,0,1,288,100.0,100.0,99.5,2,2,1,755,755,0,0,755,304,304,0,0,451,0
Will O'Steen,125373,T,JVILLE ST,10,100.0,0,196,56.8,60.9,54.8,1,11,291,100.0,100.0,97.3,2,14,2,755,0,0,755,755,307,307,0,0,448,0
Gabe Wallace,77535,T,BUFFALO,10,100.0,0,126,57.5,63.8,52.8,2,17,382,100.0,100.0,97.3,2,20,1,735,0,268,351,735,402,402,0,108,333,0
Tyler Doty,130407,G,BUFFALO,10,100.0,0,126,55.5,68.2,52.7,3,12,378,100.0,100.0,98.0,4,15,0,727,0,0,6,727,398,398,721,0,329,0
Noah Josey,126259,G,VIRGINIA,10,100.0,0,335,62.9,57.0,62.2,4,13,388,100.0,100.0,97.0,0,20,3,720,0,720,0,720,407,407,0,0,313,0
Brian Stevens,108439,C,VIRGINIA,10,100.0,1,335,77.0,79.1,76.5,0,6,388,100.0,100.0,99.0,5,7,1,719,601,0,0,719,407,407,118,0,312,0
Isaiah Wright,129909,T,BUFFALO,10,99.9,0,126,55.8,68.4,48.5,2,10,370,99.7,99.7,98.1,0,13,1,717,342,0,372,718,389,390,0,0,328,3
McKale Boley,156387,T,VIRGINIA,10,100.0,0,335,63.7,65.1,63.3,2,10,386,100.0,100.0,98.2,3,13,1,708,0,0,706,708,405,405,0,0,303,2
John Lanz,76563,C,TCU,9,100.0,0,305,66.3,69.0,67.7,3,4,413,100.0,100.0,99.2,6,7,0,702,702,0,0,702,424,424,0,0,278,0
Drew Kendall,143829,C,BOSTON COL,9,100.0,1,121,68.8,73.6,69.6,1,8,310,100.0,100.0,98.5,8,9,0,698,698,0,0,698,331,331,0,0,367,0
Kyle Hergel,87427,G,BOSTON COL,9,100.0,0,121,66.6,88.1,68.6,2,1,309,100.0,100.0,99.5,10,3,0,697,1,695,0,697,330,330,1,0,367,0
Brayden Swartout,145732,T,C MICHIGAN,10,100.0,2,134,59.8,52.9,62.4,0,20,333,100.0,100.0,96.7,7,21,1,692,0,0,1,692,357,357,0,688,335,3
Luke Kandra,52487,G,CINCINNATI,9,100.0,1,138,80.1,76.1,80.0,0,9,330,100.0,100.0,97.7,1,12,3,691,6,1,0,691,351,351,684,0,340,0
Christian Mahogany,98261,G,BOSTON COL,9,100.0,0,121,71.4,81.2,70.2,0,5,301,100.0,100.0,99.2,4,5,0,690,0,0,0,690,322,322,666,22,368,2
Chandler Strong,158365,C,GA SOUTHRN,9,100.0,0,174,70.0,76.5,66.7,4,5,437,100.0,100.0,98.7,3,10,1,689,689,0,0,689,460,460,0,0,229,0
Monroe Mills,122977,T,TEXAS TECH,9,100.0,1,315,68.5,80.3,59.7,1,7,372,100.0,100.0,98.9,5,8,0,688,0,0,687,688,389,389,0,0,299,0
Caleb Rogers,123157,T,TEXAS TECH,9,100.0,0,315,69.8,73.6,66.6,2,8,372,100.0,100.0,98.1,3,12,2,688,0,0,0,688,389,389,0,687,299,0
Willis Patrick,134500,G,TCU,9,100.0,0,305,74.8,81.4,72.0,1,6,408,100.0,100.0,99.1,2,7,0,688,0,0,0,688,419,419,687,0,269,0
Rusty Staats,81941,C,TEXAS TECH,9,100.0,0,315,54.2,61.7,50.0,4,8,372,100.0,100.0,97.6,2,15,3,688,606,0,0,688,389,389,82,0,299,0
Gabe Blair,145323,G,N TEXAS,9,100.0,1,251,63.4,71.5,58.5,1,9,399,100.0,100.0,98.2,2,12,2,688,0,688,0,688,422,422,0,0,266,0
Derek Bowman,123654,T,USF,9,100.0,0,327,55.6,56.9,55.5,1,14,375,99.7,99.8,95.9,4,23,8,687,0,0,0,687,403,404,72,614,284,1
Levi Rogers,131781,C,STANFORD,9,100.0,1,300,68.5,77.6,63.0,3,7,385,100.0,100.0,98.4,2,11,1,685,685,0,0,685,421,421,0,0,264,0
Dominic Serapiglia III,141881,C,C MICHIGAN,10,100.0,3,134,67.3,64.2,67.5,2,8,330,100.0,100.0,97.9,8,12,2,684,684,0,0,684,354,354,0,0,330,0
Bert Hale,122675,G,LA TECH,10,100.0,1,208,70.0,81.7,65.8,1,5,387,100.0,100.0,99.0,2,7,1,683,0,681,0,683,415,415,0,0,268,1
Carson Bruno,145245,T,LA TECH,10,100.0,1,208,58.1,63.1,59.5,3,17,387,100.0,100.0,96.1,7,25,5,683,0,0,1,683,415,415,0,681,268,1
Corey Gaynor,59844,C,N CAROLINA,9,100.0,0,245,67.4,77.4,63.3,0,4,371,100.0,100.0,99.2,4,5,1,681,681,0,0,681,390,390,0,0,291,0
Eliki Tanuvasa,79663,C,HAWAII,10,100.0,0,180,58.2,59.5,56.6,6,18,476,100.0,100.0,97.3,3,25,1,681,681,0,0,681,500,500,0,0,181,0
Brian Driscoll,100534,C,CAL,9,100.0,0,130,66.4,69.2,66.7,1,10,344,100.0,100.0,98.4,5,11,0,680,656,22,0,680,371,371,0,0,309,1
Dakota White,122688,T,LA TECH,10,99.9,0,208,60.4,65.3,55.1,5,12,385,99.7,99.8,97.3,2,19,2,679,0,0,674,680,413,414,0,0,266,6
Joshua Atkins,144243,T,HAWAII,10,100.0,2,180,65.8,65.6,67.0,5,13,474,100.0,100.0,97.0,8,23,5,678,0,0,678,678,498,498,0,0,180,0
Parker Titsworth,97656,C,OHIO,10,100.0,0,259,63.7,73.4,60.0,3,11,344,100.0,100.0,97.7,3,15,1,677,677,0,0,677,363,363,0,0,314,0
Isaiah Helms,104720,C,APP STATE,9,100.0,0,108,65.5,82.5,57.9,1,5,341,100.0,100.0,99.1,2,6,0,677,677,0,0,677,356,356,0,0,321,0
Jay Amburgey,98250,T,OHIO,10,100.0,2,259,73.6,79.2,67.9,2,10,344,100.0,100.0,98.0,5,13,1,677,0,1,676,677,363,363,0,0,314,0
Justin Mayers,100808,G,UTEP,10,100.0,1,330,78.8,81.2,77.6,1,6,297,100.0,100.0,98.5,4,8,1,677,0,676,1,677,321,321,0,0,356,0
Kurt Danneker,77443,G,OHIO,10,100.0,1,259,74.1,83.5,75.2,2,7,343,100.0,100.0,98.7,6,9,0,676,0,675,1,676,362,362,0,0,314,0
Bucky Williams,78305,G,APP STATE,9,100.0,0,108,74.8,71.7,75.4,1,3,341,100.0,100.0,98.8,2,6,2,676,0,0,0,676,356,356,676,0,320,0
T.J. Session,102316,T,CAL,9,99.9,0,130,61.5,55.7,61.2,4,11,339,99.7,99.7,97.2,2,17,2,673,0,2,0,674,366,367,0,671,307,0
